Τίτλος βιβλίου;Ποσότητα
Aγνωστος Προορισμός;0
Αδερφοφάδες;3
Αλλάζοντας εμένα;2
Aμμος και Αφρός;2
Ανεμοδαρμένα ύψη;4
Aνθρωποι και Ποντίκια;3
Βίος και πολιτεία του Αλέξη Ζορμπά;3
Δεν φταις εσύ;0
Δον Κιχώτης (Δεύτερος τόμος);5
Δον Κιχώτης (πρώτος τόμος);8
Εκατό χρόνια μοναξιά;3
Ένας τυχαίος εραστής;3
Εξεγερμένες ψυχές;2
Έρωτας στα χρόνια της χολέρας;3
Ευτυχία και πώς να την κατακτήσετε;0
Ζητείται ελπίς;1
Η αναζήτηση της αρχής;2
Η Δίκη;0
Η δύναμη της επικοινωνίας;3
Η κυβέρνηση της γλώσσας;2
Η κυψέλη;0
Η μεγάλη παντομίμα;9
Η τύφλωση;1
H φάρμα των ζώων;3
Η χαμένη τιμή της Κατερίνας Μπλουμ;0
Καλαμιές στον άνεμο;2
Μαντάμ Μποβαρύ;0
Μαχάτμα Γκάντι;1
Ναρκωμένες αναμνήσεις;15
Ντιέγκο και Φρίντα;9
Ο Αθώος;2
Ο Αρχαιολόγος;5
Ο γέρος και η θάλασσα;4
Ο επαναστάτης με το ποδήλατο;6
Ο Ζητιάνος;30
Ο Ηλίθιος;5
Ο μεγάλος υπηρέτης;5
Ο Ξένος;3
O Τοίχος;11
Οδός Αβύσσου-Αριθμός μηδέν;3
Οι Δικηγόροι;1
Παράδεισος;8
Πεζά κείμενα;10
Περί τυφλότητας;3
Ποίηματα;0
Σιντάρτα;1
Σταχομαζόχτρα;0
Τα βιβλία του Ιακώβ;0
Τα σταφύλια της οργής;2
Ταραντούλα;0
Τέσσερα κουαρτέτα;0
Τι μένει από τη νύχτα;1
Το άλλο όνομα;0
Το Αρχέγονο και άλλοι καιροί;0
Το άρωμα της Υβόννης;2
Το Λάθος;3
Το μονόγραμμα;0
Το φως που καίει;5
Χορτοφάγος;3
Xριστουγεννιάτικα διηγήματα;5
