Τίτλος βιβλίου;Ποσότητα;Συγγραφέα;Κόστος ανά βιβλίο
Άγνωστος Προορισμός;20;Αγκάθα Κρίστι;8.35
Αδερφοφάδες;40;Nίκου Καζαντζάκη;11.62
Αλλάζοντας εμένα;20;Έλενας Σολταρίδου;7.53
Άμμος και Αφρός;30;Χαλίλ Γκιμπράν;6.68
Ανεμοδαρμένα ύψη;20;Έμιλι Μπροντέ;15.90
Άνθρωποι και Ποντίκια;15;Τζον Στάινμπεκ;4.55
Βίος και πολιτεία του Αλέξη Ζορμπά;20;Nίκου Καζαντζάκη;13.99
Δεν φταις εσύ;20;Έφης Κονταξή;14.99
Δον Κιχώτης (Δεύτερος τόμος);11;Μιγκέλ ντε Θερβάντες;19.25
Δον Κιχώτης (πρώτος τόμος);20;Μιγκέλ ντε Θερβάντες;17.85
Εκατό χρόνια μοναξιά;20;Γκαμπριέλ Γκαρσία Μάρκες;13.99
Ένας τυχαίος εραστής;24;Ναντίν Γκόρντιμερ;5.40
Εξεγερμένες ψυχές;26;Χαλίλ Γκιμπράν;9.57
Έρωτας στα χρόνια της χολέρας;16;Γκαμπριέλ Γκαρσία Μάρκες;13.99
Ευτυχία και πώς να την κατακτήσετε;19;Συλλογικό έργο;9.03
Ζητείται ελπίς;19;Αντώνη Σαμαράκη;5.94
Η αναζήτηση της αρχής;21;Οκτάβιο Παζ;11.13
Η Δίκη;20;Φράνς Κάφκα;11.99
Η δύναμη της επικοινωνίας;25;Σάββα Τρίχα;9.03
Η κυβέρνηση της γλώσσας;26;Σέιµους Χίνι;13.99
Η κυψέλη;20;Θέλλα Καμίλο Χοσέ;13.99
Η μεγάλη παντομίμα;20;Φο Ντάριο;7.69
Η τύφλωση;18;Ελίας Κανέττι;13.99
H φάρμα των ζώων;16;Τζώρτζ Όργουελ;6.68
Η χαμένη τιμή της Κατερίνας Μπλουμ;20;Μπολ Χαϊλρίχ;7.26
Καλαμιές στον άνεμο;19;Γκράτσια Ντελέντα;19.8
Μαντάμ Μποβαρύ;20;Γκυστάβ Φλομπέρ;14.00
Μαχάτμα Γκάντι;21;Ελένης Καζαντάκη;14.99
Ναρκωμένες αναμνήσεις;20;Πατρίκ Μοντιανό;12.99
Ντιέγκο και Φρίντα;20;Λε Κλέζιο;9.54
Ο Αθώος;14;Χαρλάν Κομπέν;7.50
Ο αρχαιολόγος;20;Ανδρέα Καρκαβίτσα;9.78
Ο γέρος και η θάλασσα;20;Έρνεστ Χεμινγουέι;8.59
Ο επαναστάτης με το ποδήλατο;20;Μέμπο Τζαρντινέλι;7.93
Ο Ζητιάνος;50;Ανδρέα Καρκαβίτσα;3.00
Ο Ηλίθιος;20;Φιοντόρ Ντοστογιέφσκι;10.43
Ο μεγάλος υπηρέτης;14;Δημήτρη Σωτάκη;10.58
Ο Ξένος;11;Αλμπέρ Καμύ;7.19
O Τοίχος;20;Ζαν Πολ Σάρτρ;12.99
Οδός Αβύσσου-Αριθμός μηδέν;20;Μενέλαου Λουντέμη;13.16
Οι Δικηγόροι;8;Τζον Γκρίσαμ;3.50
Παράδεισος;8;Τόνι Μόρισον;17.85
Πεζά κείμενα;20;Νίκου Καρούζοςυ;1.07
Περί τυφλότητας;20;Ζοζέ Σαραμάγκου;13.36
Ποίηματα;20;Βίκτωρος  Ουγκό;12.30
Σιντάρτα;19;Έρμαν Έσσε;8.00
Σταχομαζόχτρα;20;Αλέξανδρου Παπαδιαμάντη;5.23
Τα βιβλία του Ιακώβ;20;Όλγκα Τοκαρτσούκ;36.00
Τα σταφύλια της οργής;8;Τζον Στάινμπεκ;14.99
Ταραντούλα;20;Ελένης Λαδιά;12.59
Τέσσερα κουαρτέτα;20;Τόμα Στ. Έλιοτ;10.49
Τι μένει από τη νύχτα;8;Έρσης Σωτηροπούλου;12.20
Το άλλο όνομα;20;Τζον Φόσσε;12.99
Το Αρχέγονο και άλλοι καιροί;20;Όλγκα Τοκαρτσούκ;14.31
Το άρωμα της Υβόννης;8;Πατρίκ Μοντιανό;9.50
Το Λάθος;11;Αντώνη Σαμαράκη;10.58
Το μονόγραμμα;20;Οδυσσέα Ελύτη;8.31
Το φως που καίει;8;Κώστα Βάρναλη;11.59
Χορτοφάγος;20;Χάγκ Κάγκ;12.80
Xριστουγεννιάτικα διηγήματα;12;Αλέξανδρου Παπαδιαμάντη;9.39
